Player,Position,Price
Guglielmo Vicario,GK,€41.6M
André Onana,GK,€34.2M
Bart Verbruggen,GK,€30.7M
David Raya,GK,€28.9M
Filip Jørgensen,GK,€25.9M
Robert Sánchez,GK,€24.9M
Alisson,GK,€24.1M
Dean Henderson,GK,€22.7M
Jordan Pickford,GK,€22.6M
Caoimhín Kelleher,GK,€20.9M
Antonín Kinský,GK,€20M
Mads Hermansen,GK,€19.8M
Ederson,GK,€19.1M
Aaron Ramsdale,GK,€18.7M
Emiliano Martínez,GK,€17.5M
Bernd Leno,GK,€13.7M
Mark Flekken,GK,€13.6M
Kepa Arrizabalaga,GK,€12M
Alphonse Areola,GK,€11.8M
Nick Pope,GK,€11.7M
Arijanet Muric,GK,€10.1M
Matz Sels,GK,€9.1M
José Sá,GK,€8.5M
Sam Johnstone,GK,€7.9M
Stefan Ortega,GK,€5.8M
Hákon Rafn Valdimarsson,GK,€2.4M
Alex Palmer,GK,€1.6M
Neto,GK,€1.6M
Jason Steele,GK,€1.5M
Christian Walton,GK,€1.4M
Martin Dúbravka,GK,€1.3M
Robin Olsen,GK,€0.9M
Danny Ward,GK,€0.9M
Łukasz Fabiański,GK,€0.9M
Joe Lumley,GK,€0.7M
Jakub Stolarczyk,GK,€0.7M
Fraser Forster,GK,€0.7M
Alex McCarthy,GK,€0.6M
William Saliba,DF,€79.5M
Joško Gvardiol,DF,€78.7M
Gabriel Magalhães,DF,€75.5M
Leny Yoro,DF,€71M
Murillo,DF,€68.4M
Jurriën Timber,DF,€65.5M
Rico Lewis,"DF,MF",€62.7M
Micky van de Ven,DF,€61.8M
Milos Kerkez,DF,€61.5M
Cristian Romero,DF,€60.1M
Destiny Udogie,DF,€59.4M
Ben White,DF,€58.8M
Illia Zabarnyi,DF,€58.8M
Rúben Dias,DF,€58.5M
Archie Gray,"DF,MF",€58.2M
Ibrahima Konaté,DF,€57.2M
Levi Colwill,DF,€56.6M
Pedro Porro,DF,€55.9M
Trent Alexander-Arnold,DF,€55.8M
Dean Huijsen,DF,€55M
Marc Guéhi,DF,€54.2M
Sven Botman,DF,€52.7M
Matthijs de Ligt,DF,€52.2M
Valentino Livramento,DF,€49.3M
Riccardo Calafiori,DF,€49.3M
Lisandro Martínez,DF,€49.2M
Abdukodir Khusanov,DF,€48.4M
Antonee Robinson,DF,€46.4M
Pau Torres,DF,€45.3M
Rayan Aït-Nouri,DF,€45M
Noussair Mazraoui,DF,€43M
Manuel Akanji,DF,€42.8M
Ezri Konsa,DF,€42.7M
Jan Paul van Hecke,DF,€42.4M
Matheus Nunes,"DF,MF",€42.3M
Ian Maatsen,DF,€40.6M
Marc Cucurella,DF,€39.4M
Nikola Milenković,DF,€38M
Diogo Dalot,DF,€37.4M
Ferdi Kadioglu,"DF,MF",€37.4M
Reece James,"DF,MF",€37.3M
Pervis Estupiñán,DF,€37.1M
Max Kilman,DF,€36.7M
Nathan Aké,DF,€36.4M
Jean-Clair Todibo,DF,€36M
Myles Lewis-Skelly,DF,€34.9M
Lewis Hall,DF,€34.5M
Vitaliy Mykolenko,DF,€33.5M
