,Median of Age,Mean of Age,Std of Age,Median of Matches Played,Mean of Matches Played,Std of Matches Played,Median of Starts,Mean of Starts,Std of Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Gls,Mean of Gls,Std of Gls,Median of Ast,Mean of Ast,Std of Ast,Median of crdY,Mean of crdY,Std of crdY,Median of crdR,Mean of crdR,Std of crdR,Median of xG,Mean of xG,Std of xG,Median of xAG,Mean of xAG,Std of xAG,Median of PrgC,Mean of PrgC,Std of PrgC,Median of PrgP,Mean of PrgP,Std of PrgP,Median of PrgR,Mean of PrgR,Std of PrgR,Median of Gls per 90,Mean of Gls per 90,Std of Gls per 90,Median of Ast per 90,Mean of Ast per 90,Std of Ast per 90,Median of xG per 90,Mean of xG per 90,Std of xG per 90,Median of xAG per 90,Mean of xAG per 90,Std of xAG per 90,Median of GA90,Mean of GA90,Std of GA90,Median of Save%,Mean of Save%,Std of Save%,Median of CS%,Mean of CS%,Std of CS%,Median of PK Save%,Mean of PK Save%,Std of PK Save%,Median of SoT%,Mean of SoT%,Std of SoT%,Median of SoT per 90,Mean of SoT per 90,Std of SoT per 90,Median of G per Sh,Mean of G per Sh,Std of G per Sh,Median of Dist,Mean of Dist,Std of Dist,Median of Cmp,Mean of Cmp,Std of Cmp,Median of Cmp%,Mean of Cmp%,Std of Cmp%,Median of TotDist,Mean of TotDist,Std of TotDist,Median of ShortCmp%,Mean of ShortCmp%,Std of ShortCmp%,Median of MedCmp%,Mean of MedCmp%,Std of MedCmp%,Median of LongCmp%,Mean of LongCmp%,Std of LongCmp%,Median of KP,Mean of KP,Std of KP,Median of Pass into 1_3,Mean of Pass into 1_3,Std of Pass into 1_3,Median of PPA,Mean of PPA,Std of PPA,Median of CrsPA,Mean of CrsPA,Std of CrsPA,Median of SCA,Mean of SCA,Std of SCA,Median of SCA90,Mean of SCA90,Std of SCA90,Median of GCA,Mean of GCA,Std of GCA,Median of GCA90,Mean of GCA90,Std of GCA90,Median of Tkl,Mean of Tkl,Std of Tkl,Median of TklW,Mean of TklW,Std of TklW,Median of Deff Att,Mean of Deff Att,Std of Deff Att,Median of Lost,Mean of Lost,Std of Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Sh,Mean of Sh,Std of Sh,Median of Pass,Mean of Pass,Std of Pass,Median of Int,Mean of Int,Std of Int,Median of Touches,Mean of Touches,Std of Touches,Median of Def Pen,Mean of Def Pen,Std of Def Pen,Median of Def 3rd,Mean of Def 3rd,Std of Def 3rd,Median of Mid 3rd,Mean of Mid 3rd,Std of Mid 3rd,Median of Att 3rd,Mean of Att 3rd,Std of Att 3rd,Median of Att Pen,Mean of Att Pen,Std of Att Pen,Median of Take-Ons Att,Mean of Take-Ons Att,Std of Take-Ons Att,Median of Succ%,Mean of Succ%,Std of Succ%,Median of Tkld%,Mean of Tkld%,Std of Tkld%,Median of Carries,Mean of Carries,Std of Carries,Median of ProDist,Mean of ProDist,Std of ProDist,Median of Carries 1_3,Mean of Carries 1_3,Std of Carries 1_3,Median of CPA,Mean of CPA,Std of CPA,Median of Mis,Mean of Mis,Std of Mis,Median of Dis,Mean of Dis,Std of Dis,Median of Rec,Mean of Rec,Std of Rec,Median of Rec PrgR,Mean of Rec PrgR,Std of Rec PrgR,Median of Fls,Mean of Fls,Std of Fls,Median of Fld,Mean of Fld,Std of Fld,Median of Off,Mean of Off,Std of Off,Median of Crs,Mean of Crs,Std of Crs,Median of Recov,Mean of Recov,Std of Recov,Median of Aerl Won,Mean of Aerl Won,Std of Aerl Won,Median of Aerl Lost,Mean of Aerl Lost,Std of Aerl Lost,Median of Aerl Won%,Mean of Aerl Won%,Std of Aerl Won%
all,26.58,26.9,4.26,23.0,21.4,9.97,15.0,15.75,10.96,1364.0,1411.38,928.2,1.0,2.05,3.58,1.0,1.53,2.24,2.0,3.02,2.65,0.0,0.09,0.31,0.8,2.07,3.15,0.9,1.53,1.91,15.0,26.64,31.3,39.0,52.61,50.82,25.0,52.06,65.32,0.03,0.12,0.18,0.04,0.09,0.12,0.07,0.13,0.16,0.07,0.1,0.1,0.0,0.14,0.51,0.0,5.49,18.5,0.0,1.95,9.09,0.0,1.0,7.97,28.0,26.05,20.99,0.22,0.39,0.45,0.04,0.07,0.1,15.7,14.84,7.11,472.0,566.02,465.68,80.2,79.25,8.3,7621.0,9720.2,8404.86,89.9,88.74,6.82,85.7,84.0,10.16,53.5,53.87,16.56,8.0,13.96,15.65,29.0,44.07,45.37,7.0,11.87,14.69,1.0,2.83,4.41,21.0,32.61,32.84,1.79,2.06,1.41,2.0,3.57,4.28,0.15,0.21,0.22,18.0,25.22,22.98,11.0,15.08,14.1,17.0,23.0,20.71,8.0,11.29,10.57,12.0,15.62,13.91,3.0,5.28,7.38,8.0,10.34,9.53,7.0,11.41,11.92,764.0,855.78,630.75,32.0,96.94,179.48,161.0,283.23,311.57,281.0,364.06,320.52,144.0,216.9,213.77,21.0,35.35,41.91,14.0,25.99,31.83,43.2,42.67,25.06,42.4,38.98,23.64,408.0,479.33,363.5,1052.0,1331.49,1112.61,13.0,17.92,18.56,2.0,8.29,14.58,13.0,19.45,19.8,8.0,13.45,15.0,493.0,559.77,426.22,25.0,52.06,65.32,12.0,15.85,14.03,10.0,15.32,14.96,1.0,2.44,4.04,9.0,25.02,36.58,46.0,59.43,47.11,10.0,18.49,21.68,13.0,18.48,18.79,50.0,48.1,22.16
Arsenal,26.88,26.5,3.82,23.5,23.27,8.07,16.5,17.5,10.4,1478.5,1564.45,902.98,2.0,2.82,2.81,1.5,2.32,2.75,2.5,2.91,1.97,0.0,0.23,0.53,1.65,2.56,2.64,0.9,1.93,2.19,23.0,35.32,32.7,56.5,77.0,62.44,52.0,75.95,77.49,0.11,0.16,0.16,0.11,0.14,0.15,0.1,0.15,0.14,0.09,0.12,0.12,0.0,0.04,0.19,0.0,3.37,15.8,0.0,1.56,7.31,0.0,0.0,0.0,30.65,26.6,17.33,0.22,0.41,0.41,0.13,0.13,0.13,14.65,13.98,5.77,468.5,717.68,560.34,82.95,82.32,6.27,7398.0,11757.95,9938.89,91.75,90.89,4.67,86.3,84.95,7.86,53.35,55.32,9.76,10.0,17.5,17.78,40.5,58.09,52.92,9.0,18.27,18.49,1.5,3.0,3.63,25.0,39.86,34.14,2.24,2.45,1.4,3.0,5.0,5.6,0.24,0.29,0.3,19.5,24.64,20.73,12.0,14.68,12.64,21.0,21.36,14.86,11.0,10.64,7.58,10.0,13.68,11.17,1.5,4.41,6.84,7.5,9.27,7.89,6.0,9.64,8.87,771.5,1008.95,673.68,25.0,75.82,170.01,125.0,254.45,337.03,296.0,439.0,390.89,225.0,323.09,237.02,38.5,53.77,50.36,23.5,30.59,29.15,44.65,49.27,22.44,36.4,37.4,18.06,427.0,593.27,410.16,1358.0,1677.64,1143.7,19.5,21.95,18.37,4.5,12.14,15.46,15.5,20.14,15.94,13.5,15.86,13.52,552.0,710.86,492.2,52.0,75.95,77.49,14.0,16.95,11.27,17.0,17.05,12.4,2.0,3.55,3.69,11.0,32.18,42.69,49.5,59.68,41.37,10.5,19.91,19.79,15.5,19.36,17.65,51.15,47.83,19.01
Aston Villa,27.74,27.13,4.11,21.0,19.78,10.36,11.0,14.11,11.72,1051.0,1264.67,948.07,1.0,1.89,3.36,0.0,1.48,2.44,2.0,2.52,2.24,0.0,0.07,0.27,0.8,1.91,3.02,0.4,1.4,2.04,16.0,23.85,24.11,34.0,45.33,48.72,17.0,43.81,52.99,0.03,0.16,0.28,0.0,0.07,0.1,0.07,0.18,0.24,0.05,0.08,0.08,0.0,0.12,0.46,0.0,4.53,16.39,0.0,4.36,19.41,0.0,1.85,9.62,25.0,25.84,22.83,0.19,0.44,0.68,0.04,0.07,0.08,16.0,14.92,6.87,479.0,504.85,429.33,82.1,81.61,7.05,6395.0,8667.85,8011.22,91.5,90.19,5.57,86.5,86.8,7.63,54.0,55.17,15.21,5.0,12.07,15.22,24.0,39.33,47.26,7.0,10.56,12.91,0.0,1.85,3.77,18.0,28.7,30.5,1.76,1.98,1.23,2.0,3.44,3.95,0.17,0.22,0.2,11.0,21.81,20.82,6.0,12.52,12.71,11.0,18.67,19.24,6.0,8.19,8.31,11.0,11.19,9.16,3.0,3.74,4.34,6.0,7.44,6.41,5.0,8.33,8.42,674.0,739.78,577.16,32.0,90.11,194.53,136.0,251.44,302.52,259.0,318.0,302.44,117.0,177.63,173.19,20.0,31.59,38.32,17.0,24.37,30.67,47.4,48.54,26.6,38.9,36.71,23.67,419.0,418.7,319.68,1121.0,1207.11,947.35,13.0,14.93,13.33,2.0,6.89,10.67,10.0,17.11,21.98,8.0,13.33,15.43,486.0,494.37,389.08,17.0,43.81,52.99,9.0,14.0,13.58,9.0,16.89,17.99,1.0,1.85,2.92,4.0,19.67,34.85,39.0,47.96,37.03,8.0,12.85,12.2,10.0,14.07,14.12,50.0,39.96,24.6
Bournemouth,26.0,26.47,3.84,26.0,22.22,10.18,17.0,16.7,11.63,1670.0,1494.61,1004.39,1.0,2.35,3.59,1.0,1.7,2.05,3.0,3.87,3.08,0.0,0.09,0.29,1.1,2.68,3.58,1.1,1.81,1.87,19.0,29.87,34.65,43.0,58.48,52.05,31.0,57.65,71.61,0.03,0.14,0.18,0.04,0.1,0.11,0.08,0.18,0.2,0.1,0.13,0.15,0.0,0.14,0.38,0.0,10.43,27.58,0.0,1.96,6.53,0.0,0.0,0.0,28.6,21.76,17.73,0.15,0.54,0.65,0.06,0.05,0.06,14.8,13.74,6.79,436.0,504.78,408.76,74.3,73.93,6.58,7088.0,9147.96,7897.39,88.0,86.84,7.09,78.3,81.62,10.8,47.8,46.66,17.89,11.0,17.78,16.56,37.0,48.22,47.73,7.0,13.22,13.87,2.0,4.04,5.53,28.0,40.78,36.35,2.35,2.57,1.87,2.0,3.96,4.19,0.21,0.23,0.21,21.0,27.96,23.43,10.0,16.13,14.51,25.0,25.61,21.31,13.0,13.57,10.71,16.0,18.83,16.69,3.0,5.74,7.26,8.0,13.09,12.64,10.0,14.39,15.62,783.0,852.48,626.55,44.0,90.26,153.47,159.0,257.3,280.45,316.0,365.96,322.88,133.0,239.74,238.2,19.0,39.52,48.08,16.0,27.09,32.49,40.0,37.59,23.26,41.6,37.24,23.13,483.0,458.35,342.5,1183.0,1442.09,1300.4,17.0,21.09,20.43,1.0,9.09,16.03,18.0,23.52,21.61,8.0,14.09,17.22,435.0,499.7,370.48,31.0,57.65,71.61,16.0,20.52,17.98,10.0,15.61,13.89,0.0,2.74,5.07,10.0,32.96,41.37,59.0,73.22,57.25,20.0,23.17,21.3,22.0,24.61,20.98,46.0,48.0,20.8
Brentford,24.84,26.2,3.91,28.0,23.52,11.38,21.0,18.33,13.3,1913.0,1638.1,1122.04,0.0,2.9,5.54,2.0,1.95,2.44,2.0,2.52,1.89,0.0,0.05,0.22,0.8,2.61,4.2,1.2,1.9,2.23,12.0,25.86,32.38,52.0,58.29,54.49,27.0,57.57,77.18,0.0,0.12,0.19,0.09,0.1,0.1,0.06,0.12,0.16,0.08,0.1,0.09,0.0,0.13,0.42,0.0,5.86,18.87,0.0,5.6,21.97,0.0,0.0,0.0,31.3,26.48,19.8,0.17,0.32,0.38,0.0,0.07,0.08,14.7,13.66,6.96,489.0,582.24,445.79,77.3,76.69,7.84,7626.0,10679.14,9438.23,87.7,86.8,7.67,79.9,82.29,9.73,55.0,54.84,13.49,9.0,14.52,17.54,42.0,48.1,40.92,7.0,14.0,18.7,2.0,3.9,5.27,21.0,34.1,35.69,1.72,1.87,1.16,2.0,5.0,5.82,0.2,0.28,0.27,25.0,27.52,22.23,17.0,16.52,12.89,26.0,25.48,20.6,11.0,11.86,10.52,17.0,21.19,19.31,4.0,8.71,12.94,13.0,12.48,10.39,8.0,12.76,12.3,804.0,937.05,669.69,52.0,145.57,290.91,232.0,366.48,421.08,348.0,349.05,279.64,160.0,230.05,234.92,24.0,43.0,47.19,13.0,27.33,33.91,46.2,44.12,23.89,41.7,38.09,20.12,410.0,493.67,361.55,1204.0,1371.57,1143.64,11.0,15.95,18.82,1.0,9.19,17.53,14.0,23.29,26.45,8.0,12.57,13.54,497.0,573.52,410.87,27.0,57.57,77.18,12.0,13.33,10.82,10.0,15.05,14.58,1.0,2.95,4.48,14.0,29.52,45.99,50.0,71.0,55.45,12.0,27.52,31.92,14.0,23.95,23.96,55.5,54.89,19.61
Brighton,24.76,26.43,5.16,22.5,20.08,10.22,13.5,14.65,9.94,1271.5,1307.96,881.65,1.0,2.08,3.08,1.0,1.42,1.63,2.5,2.88,2.58,0.0,0.12,0.33,0.75,2.0,2.73,1.25,1.4,1.42,19.0,27.88,30.62,41.0,53.04,50.65,29.5,52.27,64.15,0.04,0.12,0.14,0.04,0.1,0.13,0.08,0.12,0.12,0.08,0.1,0.08,0.0,0.08,0.34,0.0,5.37,19.04,0.0,2.62,10.3,0.0,0.0,0.0,28.0,27.35,22.83,0.26,0.32,0.31,0.04,0.08,0.09,15.75,15.9,5.98,398.5,551.54,490.93,81.35,80.04,7.94,5888.5,9400.46,9378.91,90.95,89.98,6.08,82.75,81.93,10.74,54.25,56.37,13.56,13.0,12.5,10.2,29.0,41.08,49.65,8.5,11.62,10.59,1.5,3.04,3.9,26.5,31.65,23.68,2.81,2.46,1.23,3.0,3.81,2.95,0.3,0.32,0.27,17.0,24.23,19.61,11.0,14.77,12.03,18.5,24.35,18.59,10.0,12.42,9.13,12.5,15.35,12.25,2.0,4.27,5.57,10.5,11.08,10.04,9.5,11.15,9.88,658.0,824.27,624.9,28.5,91.92,203.56,139.0,265.27,334.11,258.5,358.77,332.91,158.0,209.35,182.26,17.5,36.12,43.25,12.5,27.85,32.67,42.2,43.53,23.35,45.1,44.82,22.75,394.0,484.54,391.42,1142.0,1454.5,1447.02,17.0,19.58,18.93,3.0,8.92,15.5,13.0,19.88,19.55,7.0,11.81,12.79,425.0,543.15,429.86,29.5,52.27,64.15,12.0,15.5,12.5,9.5,14.42,14.84,1.0,1.58,1.86,10.0,23.5,28.56,49.0,56.19,44.41,14.5,18.19,18.93,14.0,16.35,15.18,51.9,48.7,22.42
Chelsea,24.2,24.02,2.37,23.5,20.58,11.24,13.5,15.46,12.03,1200.5,1390.29,1046.92,1.0,2.42,3.76,1.0,1.83,2.32,3.0,3.88,3.26,0.0,0.04,0.2,0.85,2.74,4.34,1.05,2.07,2.54,15.0,33.38,42.09,34.5,60.12,64.92,15.0,61.38,77.7,0.05,0.15,0.21,0.06,0.14,0.19,0.08,0.16,0.18,0.1,0.16,0.18,0.0,0.11,0.37,0.0,6.15,20.86,0.0,1.85,6.46,0.0,0.83,4.08,27.3,25.17,22.91,0.31,0.47,0.5,0.06,0.07,0.08,14.7,13.48,6.76,525.5,668.04,606.52,84.25,83.54,6.44,7782.0,11577.21,10892.06,91.55,90.77,5.84,90.15,88.08,7.42,57.5,56.83,18.56,8.5,18.0,22.35,27.5,55.88,60.49,6.0,13.67,17.56,0.0,2.96,5.66,16.5,41.62,48.79,2.24,2.44,1.69,2.5,4.29,4.82,0.23,0.26,0.25,12.5,21.75,24.61,9.0,13.67,15.2,12.0,20.25,23.34,6.5,10.25,12.44,9.0,13.33,14.21,1.5,3.92,5.83,6.5,9.42,10.34,7.5,10.29,11.84,821.0,933.75,789.04,20.0,88.54,186.6,126.5,276.75,347.19,267.5,418.42,427.15,127.0,246.62,263.95,14.0,43.71,53.17,14.0,29.88,34.64,43.25,40.78,20.8,40.0,38.55,23.38,485.0,541.54,432.58,1459.0,1563.46,1221.78,11.5,18.58,19.59,1.5,12.5,22.36,9.5,17.54,20.26,6.5,11.46,12.31,586.0,664.5,554.48,15.0,61.38,77.7,10.5,16.33,16.5,11.0,16.92,17.18,1.0,2.54,4.77,3.5,25.54,41.77,44.5,58.88,52.44,9.5,14.29,17.08,8.5,14.46,15.09,37.75,43.03,27.49
Crystal Palace,27.19,27.18,3.13,30.0,24.05,10.63,19.0,18.24,12.87,1652.0,1633.05,1082.85,0.0,1.9,3.4,1.0,1.52,2.09,2.0,3.62,3.37,0.0,0.19,0.4,1.1,2.56,3.48,1.5,1.91,2.13,11.0,21.71,22.71,47.0,50.19,39.6,11.0,49.67,64.87,0.0,0.09,0.13,0.03,0.06,0.08,0.08,0.14,0.14,0.11,0.1,0.07,0.0,0.07,0.3,0.0,3.2,14.64,0.0,1.36,6.24,0.0,2.38,10.91,31.6,29.24,17.72,0.34,0.49,0.46,0.0,0.06,0.08,17.7,18.12,5.71,541.0,518.71,394.67,75.6,74.08,6.95,8735.0,9314.81,7637.33,84.3,84.29,6.45,81.1,79.82,10.5,46.7,50.0,18.57,9.0,16.14,16.23,27.0,38.71,32.31,4.0,11.95,12.75,1.0,3.05,4.38,27.0,37.62,35.37,2.0,2.21,1.5,3.0,3.62,3.43,0.15,0.17,0.17,21.0,33.14,29.89,14.0,19.52,18.66,23.0,28.43,22.22,15.0,14.24,9.88,19.0,21.05,18.02,3.0,6.14,6.91,13.0,14.9,12.89,11.0,14.14,14.5,870.0,887.52,625.94,30.0,110.43,217.28,181.0,330.14,366.23,377.0,368.95,273.15,146.0,196.95,187.98,18.0,34.38,36.3,12.0,21.19,29.73,40.0,39.96,24.82,45.0,45.78,27.67,429.0,444.05,314.91,1004.0,1092.24,799.19,10.0,15.38,14.12,1.0,5.24,7.51,16.0,21.67,21.05,13.0,14.62,14.36,532.0,513.95,354.54,11.0,49.67,64.87,12.0,18.05,16.2,19.0,17.95,15.78,1.0,3.19,4.92,11.0,26.9,32.74,64.0,72.81,53.93,17.0,22.38,22.37,19.0,28.19,25.86,43.2,41.12,18.52
Everton,27.13,28.24,5.0,25.0,22.9,9.21,15.0,18.05,10.53,1391.0,1612.14,898.75,1.0,1.52,2.18,1.0,0.95,1.12,3.0,3.38,2.22,0.0,0.1,0.3,1.1,1.72,2.07,0.8,1.29,1.13,12.0,20.57,20.97,43.0,43.81,36.24,24.0,43.76,41.55,0.03,0.09,0.13,0.03,0.06,0.09,0.05,0.11,0.12,0.05,0.07,0.06,0.0,0.06,0.27,0.0,3.39,15.52,0.0,1.36,6.24,0.0,4.76,21.82,35.7,31.05,24.22,0.19,0.34,0.37,0.04,0.08,0.11,16.8,16.3,6.47,437.0,487.29,341.27,73.9,74.37,8.03,7795.0,9209.9,7883.12,86.7,85.33,7.7,83.1,79.92,12.21,55.3,57.29,15.33,8.0,12.38,10.03,38.0,43.14,35.29,8.0,10.52,10.34,1.0,3.86,5.49,25.0,29.57,19.82,1.72,1.78,0.99,2.0,2.48,2.11,0.1,0.16,0.15,28.0,31.81,28.57,16.0,18.67,17.23,24.0,28.19,22.66,9.0,13.57,11.52,15.0,16.86,14.5,3.0,6.1,9.55,8.0,10.76,8.71,10.0,14.33,13.18,805.0,832.33,510.74,31.0,105.86,222.23,196.0,300.1,365.35,305.0,336.71,237.45,204.0,204.14,147.27,20.0,30.81,26.45,20.0,27.57,30.57,46.0,44.2,20.79,45.0,43.86,20.85,399.0,406.67,248.01,780.0,1076.67,831.53,10.0,15.14,11.82,2.0,5.24,7.24,13.0,22.1,20.66,12.0,16.57,14.56,451.0,481.38,275.6,24.0,43.76,41.55,15.0,18.71,13.77,14.0,15.95,12.82,1.0,3.62,6.44,7.0,29.62,37.39,61.0,65.1,47.56,11.0,26.1,29.85,15.0,24.33,23.9,50.0,47.48,19.12
Fulham,28.87,28.99,3.43,28.0,25.1,9.28,17.5,17.65,11.58,1620.5,1585.1,966.69,0.5,2.4,3.38,1.0,2.05,2.65,2.5,3.45,3.07,0.0,0.05,0.22,1.1,2.23,2.8,1.0,1.73,1.95,22.0,33.2,37.67,53.0,64.85,50.78,39.0,67.35,74.1,0.02,0.17,0.25,0.08,0.1,0.12,0.08,0.15,0.16,0.08,0.1,0.08,0.0,0.07,0.3,0.0,3.42,15.27,0.0,0.72,3.2,0.0,0.0,0.0,29.15,27.04,19.61,0.26,0.51,0.58,0.02,0.07,0.09,15.45,15.63,5.71,652.0,660.55,490.55,81.4,80.0,8.21,11199.0,11522.15,9079.55,89.65,88.34,6.79,83.1,83.9,9.3,58.2,59.16,13.58,10.0,17.3,17.51,44.5,53.0,41.52,8.0,14.2,19.78,1.5,4.65,7.56,30.0,39.45,33.13,2.2,2.45,1.65,3.0,4.4,4.39,0.18,0.24,0.2,24.0,29.45,23.69,12.0,17.8,14.93,19.0,24.45,21.49,9.0,12.05,11.74,14.0,14.8,11.01,2.0,3.75,4.23,11.5,11.05,8.41,8.5,12.25,13.75,976.0,978.9,663.33,26.5,105.05,244.22,155.5,312.7,373.54,388.5,401.7,313.05,232.5,275.3,234.9,32.0,40.2,39.81,18.5,27.45,28.01,42.85,40.43,20.86,41.7,37.49,15.58,533.5,575.55,409.51,1222.5,1565.9,1329.93,18.0,23.65,24.51,4.5,9.05,11.26,15.5,22.35,18.81,8.0,12.15,12.08,632.5,652.85,440.95,39.0,67.35,74.1,16.5,18.7,14.74,15.5,15.15,11.48,1.0,2.0,3.34,15.0,40.05,53.45,61.0,67.7,45.3,15.0,21.4,21.74,19.0,22.5,21.63,47.2,47.32,19.25
